_url,birth_year,weight,height,nationality
guillermo-de-la-pena,1959.0,,,Spain
jan-aling,1949.0,,,Netherlands
matthias-brandle,1989.0,80.0,190.0,Austria
atle-kvalsvoll,1962.0,,,Norway
manuel-cardenas,1961.0,,,Colombia
jan-willem-van-schip,1994.0,84.0,194.0,Netherlands
gianni-di-lorenzo,1948.0,,,Italy
timothy-duggan,1982.0,60.0,173.0,United States
paul-willerton,1969.0,,,United States
yann-tournier,1978.0,,,France
dawid-krupa,1980.0,74.0,181.0,Poland
david-canada,1975.0,65.0,176.0,Spain
kenny-molly,1996.0,61.0,171.0,Belgium
max-walker,2001.0,,,Great Britain
jonathan-tiernan-locke,1984.0,,,Great Britain
adam-phelan,1991.0,73.0,182.0,Australia
martijn-tusveld,1993.0,70.0,188.0,Netherlands
cyril-lemoine,1983.0,73.0,182.0,France
william-dazzani,1966.0,,,Italy
orluis-aular,1996.0,65.0,176.0,Venezuela
benat-intxausti,1986.0,61.0,175.0,Spain
ricardo-zuniga,1957.0,,,Spain
jean-claude-fabbri,1952.0,,,Italy
javier-perez-pereira,1977.0,,,Spain
chris-peers,1970.0,73.0,184.0,Belgium
sergei-ivanov,1975.0,73.0,180.0,Russia
massimo-codol,1973.0,67.0,178.0,Italy
florian-lipowitz,2000.0,68.0,181.0,Germany
giuseppe-palumbo,1975.0,61.0,173.0,Italy
jose-angel-sarrapio,1959.0,,,Spain
hidenori-nodera,1975.0,,,Japan
kevin-ledanois,1993.0,67.0,181.0,France
stijn-vandenbergh,1984.0,86.0,199.0,Belgium
tim-kerkhof,1993.0,76.0,190.0,Netherlands
matteo-priamo,1982.0,72.0,182.0,Italy
marco-della-vedova,1972.0,,,Italy
juan-cesar-aguirre,1969.0,,,Colombia
sylvain-georges,1984.0,69.0,181.0,France
gino-ligneel,1957.0,,,Belgium
leon-boelhouwers,1965.0,,,Netherlands
thomas-davy,1968.0,,,France
jairo-de-jesus-hernandez-montoya,1972.0,,,Colombia
valentino-fois,1973.0,,,Italy
juergen-werner,1970.0,,,Germany
christian-werner,1979.0,,,Germany
jean-cyril-robin,1969.0,63.0,180.0,France
roberto-gaggioli,1962.0,,,Italy
francisco-cerezo,1971.0,,,Spain
karl-kalin,1965.0,,,Switzerland
jesse-sergent,1988.0,76.0,189.0,New Zealand
julio-cesar,1968.0,,,Colombia
rui-lavarinhas,1971.0,,,Portugal
noe-gianetti,1989.0,,,Switzerland
jarrad-drizners,1999.0,70.0,186.0,Australia
christian-pfannberger,1979.0,63.0,177.0,Austria
domingos-goncalves,1989.0,70.0,184.0,Portugal
filip-maciejuk,1999.0,78.0,190.0,Poland
claudio-rio,1964.0,,,Italy
